COMPANY,sector,Symbol
ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANI PORTS & SEZ,MISCELLANEOUS,ADANI PORTS & SEZ: ADANIPORTS
APOLLO HOSPITALS,MISCELLANEOUS,APOLLO HOSPITALS: APOLLOHOSP
ASIAN PAINTS,PAINTS,ASIAN PAINTS: ASIANPAINT
AXIS BANK,BANKING,AXIS BANK: AXISBANK
BAJAJ AUTO,AUTOMOBILES,BAJAJ AUTO: BAJAJ-AUTO
BAJAJ FINANCE,FINANCE,BAJAJ FINANCE: BAJFINANCE
BAJAJ FINSERV,FINANCE,BAJAJ FINSERV: BAJAJFINSV
BHARAT ELECTRONICS,DEFENCE,BHARAT ELECTRONICS: BEL
BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
BPCL,ENERGY,BPCL: BPCL
CIPLA,PHARMACEUTICALS,CIPLA: CIPLA
COAL INDIA,MINING,COAL INDIA: COALINDIA
DR. REDDYS LAB,PHARMACEUTICALS,DR. REDDYS LAB: DRREDDY
EICHER MOTORS,AUTOMOBILES,EICHER MOTORS: EICHERMOT
GRASIM,TEXTILES,GRASIM: GRASIM
HCL TECHNOLOGIES,SOFTWARE,HCL TECHNOLOGIES: HCLTECH
HDFC BANK,BANKING,HDFC BANK: HDFCBANK
HDFC LIFE INSURANCE,INSURANCE,HDFC LIFE INSURANCE: HDFCLIFE
HERO MOTOCORP,AUTOMOBILES,HERO MOTOCORP: HEROMOTOCO
HINDALCO,ALUMINIUM,HINDALCO: HINDALCO
HINDUSTAN UNILEVER,FMCG,HINDUSTAN UNILEVER: HINDUNILVR
ICICI BANK,BANKING,ICICI BANK: ICICIBANK
INDUSIND BANK,BANKING,INDUSIND BANK: INDUSINDBK
INFOSYS,SOFTWARE,INFOSYS: INFY
IOC,ENERGY,IOC: IOC
ITC,FOOD & TOBACCO,ITC: ITC
JSW STEEL,STEEL,JSW STEEL: JSWSTEEL
KOTAK MAHINDRA BANK,BANKING,KOTAK MAHINDRA BANK: KOTAKBANK
L&T,ENGINEERING,L&T: LT
M&M,AUTOMOBILES,M&M: M&M
MARUTI SUZUKI,AUTOMOBILES,MARUTI SUZUKI: MARUTI
NESTLE,FOOD & TOBACCO,NESTLE: NESTLEIND
NTPC,POWER,NTPC: NTPC
ONGC,ENERGY,ONGC: ONGC
POWER GRID,POWER,POWER GRID: POWERGRID
RELIANCE IND.,ENERGY,RELIANCE IND.: RELIANCE
SBI,BANKING,SBI: SBIN
SBI LIFE INSURANCE,INSURANCE,SBI LIFE INSURANCE: SBILIFE
SHRIRAM FINANCE,FINANCE,SHRIRAM FINANCE: SHRIRAMFIN
SUN PHARMA,PHARMACEUTICALS,SUN PHARMA: SUNPHARMA
TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
TATA MOTORS,AUTOMOBILES,TATA MOTORS: TATAMOTORS
TATA STEEL,STEEL,TATA STEEL: TATASTEEL
TCS,SOFTWARE,TCS: TCS
TECH MAHINDRA,SOFTWARE,TECH MAHINDRA: TECHM
TITAN,RETAILING,TITAN: TITAN
TRENT,RETAILING,TRENT: TRENT
ULTRATECH CEMENT,CEMENT,ULTRATECH CEMENT: ULTRACEMCO
WIPRO,SOFTWARE,WIPRO: WIPRO
